,USERID,PID,RATING
217,404,B004GKBQN0,5
219,2515,B004GKBQN0,5
221,2411,B004GKBQN0,5
223,2411,B004GKBQN0,5
225,733,B07R7K6JY6,5
227,697,B07R7K6JY6,5
229,2873,B07R7K6JY6,5
231,2846,B07R7K6JY6,5
233,900,B07R7K6JY6,4
235,15,B07R7K6JY6,4
237,170,B07R7K6JY6,2
239,92,B07R7K6JY6,5
241,92,B07R7K6JY6,5
243,148,B07PQ3LFKS,4
245,3102,B07PQ3LFKS,5
247,1464,B07PQ3LFKS,5
249,925,B07PQ3LFKS,4
251,3139,B07PQ3LFKS,4
253,119,B07PQ3LFKS,4
255,119,B07PQ3LFKS,4
257,1275,B07PQ3LFKS,5
259,1275,B07PQ3LFKS,5
261,3060,B01N0ST6SG,1
263,2073,B01N0ST6SG,3
265,1732,B01N0ST6SG,3
267,1900,B01N0ST6SG,3
269,2720,B01N0ST6SG,4
271,1999,B01N0ST6SG,4
273,286,B01N0ST6SG,3
275,922,B01N0ST6SG,3
277,922,B01N0ST6SG,3
279,2593,B07MRKFXSQ,5
281,2735,B07MRKFXSQ,5
283,1292,B07MRKFXSQ,5
285,2296,B07MRKFXSQ,5
287,3100,B07MRKFXSQ,5
289,2480,B07MRKFXSQ,4
291,2349,B07MRKFXSQ,5
293,2372,B07MRKFXSQ,4
295,2372,B07MRKFXSQ,4
297,891,B07L634WLK,4
299,271,B07L634WLK,4
301,1648,B07L634WLK,5
303,2525,B07L634WLK,5
305,2462,B07L634WLK,3
307,1430,B07L634WLK,5
309,1008,B07L634WLK,4
311,65,B07L634WLK,5
313,65,B07L634WLK,5
315,2985,B07MMLGJHR,4
317,2809,B07MMLGJHR,5
319,3004,B07MMLGJHR,5
321,1207,B07MMLGJHR,5
323,3090,B07MMLGJHR,4
325,3105,B07MMLGJHR,4
327,670,B07MMLGJHR,5
329,2501,B07MMLGJHR,4
331,2501,B07MMLGJHR,4
333,1608,B07QJVNC6Q,5
335,1305,B07QJVNC6Q,5
337,1260,B07QJVNC6Q,5
339,2421,B07QJVNC6Q,5
341,2312,B07QJVNC6Q,5
343,2980,B07QJVNC6Q,5
345,2991,B07QJVNC6Q,5
347,2402,B07QJVNC6Q,4
349,2402,B07QJVNC6Q,4
351,1685,B07HB1ZPKQ,5
353,532,B07HB1ZPKQ,1
355,1480,B07HB1ZPKQ,3
357,2060,B07HB1ZPKQ,1
359,2019,B07HB1ZPKQ,5
361,75,B07HB1ZPKQ,5
363,119,B07HB1ZPKQ,3
365,762,B07HB1ZPKQ,5
367,762,B07HB1ZPKQ,5
369,2158,B07PNKXSY3,5
371,351,B07PNKXSY3,3
373,2057,B07PNKXSY3,5
375,1911,B07PNKXSY3,5
377,381,B07PNKXSY3,2
379,990,B07PNKXSY3,3
381,119,B07PNKXSY3,5
383,177,B07PNKXSY3,5
385,177,B07PNKXSY3,5
387,1389,B07C2RTTK7,4
389,1752,B07C2RTTK7,3
391,1085,B07C2RTTK7,5
393,2281,B07C2RTTK7,1
395,1088,B07C2RTTK7,4
397,119,B07C2RTTK7,5
399,119,B07C2RTTK7,1
401,2309,B07C2RTTK7,5
403,2309,B07C2RTTK7,5
405,674,B07HH5RC9B,5
407,342,B07HH5RC9B,2
409,614,B07HH5RC9B,3
411,2154,B07HH5RC9B,3
413,1312,B07HH5RC9B,5
415,560,B07HH5RC9B,5
417,1960,B07HH5RC9B,5
419,2360,B07HH5RC9B,5
421,2360,B07HH5RC9B,5
423,2591,B07MSQ3Q7L,5
425,1724,B07MSQ3Q7L,5
427,1079,B07MSQ3Q7L,5
429,2220,B07MSQ3Q7L,4
431,67,B07MSQ3Q7L,5
433,414,B07MSQ3Q7L,5
435,2890,B07MSQ3Q7L,5
437,56,B07MSQ3Q7L,4
439,56,B07MSQ3Q7L,4
441,1686,B00HS7QEZI,5
443,2549,B00HS7QEZI,3
445,168,B00HS7QEZI,4
447,2502,B00HS7QEZI,4
449,2082,B00HS7QEZI,1
451,1320,B00HS7QEZI,5
453,1976,B00HS7QEZI,5
455,1801,B00HS7QEZI,3
457,1801,B00HS7QEZI,3
459,917,B07MFRPTSM,5
461,2440,B07MFRPTSM,5
463,1739,B07MFRPTSM,5
465,2326,B07MFRPTSM,5
467,2499,B07MFRPTSM,5
469,2568,B07MFRPTSM,5
471,2067,B07MFRPTSM,5
473,1001,B07MFRPTSM,5
475,1001,B07MFRPTSM,5
477,2084,B07QGV1G12,3
479,2658,B07QGV1G12,3
481,2726,B07QGV1G12,5
483,119,B07QGV1G12,5
485,1110,B07QGV1G12,5
487,2754,B07QGV1G12,5
489,1809,B07QGV1G12,5
491,2960,B07QGV1G12,4
493,2960,B07QGV1G12,4
495,2252,B0797PD6Y6,5
497,2664,B0797PD6Y6,5
499,2552,B0797PD6Y6,5
501,695,B0797PD6Y6,5
503,1615,B0797PD6Y6,5
505,1615,B0797PD6Y6,5
507,119,B07PGN8559,5
509,814,B07PGN8559,5
511,126,B07PGN8559,5
513,1953,B07PGN8559,4
515,844,B07PGN8559,5
517,386,B07PGN8559,3
519,2007,B07PGN8559,5
521,1089,B07PGN8559,5
523,1089,B07PGN8559,5
525,1237,B07PQPLQGS,5
527,16,B07PQPLQGS,5
529,3000,B07PQPLQGS,5
531,1507,B07PQPLQGS,1
533,2849,B07PQPLQGS,3
535,49,B07PQPLQGS,5
537,1151,B07PQPLQGS,5
539,1386,B07PQPLQGS,5
541,1386,B07PQPLQGS,5
543,2217,B07NXQ8CCK,5
545,1721,B07NXQ8CCK,5
547,2818,B07NXQ8CCK,5
549,980,B07NXQ8CCK,5
551,1774,B07NXQ8CCK,5
553,908,B07NXQ8CCK,5
555,1337,B07NXQ8CCK,5
557,1233,B07NXQ8CCK,5
559,1233,B07NXQ8CCK,5
561,2587,B07HMW1FDG,1
563,362,B07HMW1FDG,2
565,2039,B07HMW1FDG,5
567,1782,B07HMW1FDG,2
569,2152,B07HMW1FDG,1
571,1581,B07HMW1FDG,3
573,1840,B07HMW1FDG,5
575,2099,B07HMW1FDG,1
577,2099,B07HMW1FDG,1
579,368,B07PWYM2PP,1
581,2570,B07PWYM2PP,5
583,2383,B07PWYM2PP,1
585,2675,B07PWYM2PP,4
587,687,B07PWYM2PP,4
589,2089,B07PWYM2PP,4
591,119,B07PWYM2PP,5
593,2533,B07PWYM2PP,5
595,2533,B07PWYM2PP,5
597,435,B07RDF1S9Q,5
599,0,B07RDF1S9Q,5
601,1977,B07RDF1S9Q,5
603,136,B07RDF1S9Q,4
605,1530,B07RDF1S9Q,5
607,984,B07RDF1S9Q,5
609,703,B07RDF1S9Q,3
611,1946,B07RDF1S9Q,4
613,1946,B07RDF1S9Q,4
615,3001,B07M61KLM6,5
617,894,B07M61KLM6,5
619,722,B07M61KLM6,5
621,766,B07M61KLM6,1
623,897,B07M61KLM6,5
625,1884,B07M61KLM6,5
627,2050,B07M61KLM6,4
629,1839,B07M61KLM6,4
631,1839,B07M61KLM6,4
633,1707,B07H5DS13S,5
635,328,B07H5DS13S,3
637,2519,B07H5DS13S,5
639,348,B07H5DS13S,5
641,2781,B07H5DS13S,5
643,2212,B07H5DS13S,5
645,2989,B07H5DS13S,5
647,1139,B07H5DS13S,5
649,1139,B07H5DS13S,5
651,2816,B00VE86JCK,4
653,2862,B00VE86JCK,5
655,1823,B00VE86JCK,5
657,2023,B00VE86JCK,5
659,2973,B00VE86JCK,5
661,244,B00VE86JCK,3
663,3117,B00VE86JCK,5
665,2006,B00VE86JCK,3
667,2006,B00VE86JCK,3
669,610,B07MRGNTKX,5
671,3094,B07MRGNTKX,5
673,2155,B07MRGNTKX,5
675,43,B07MRGNTKX,5
677,2687,B07MRGNTKX,3
679,119,B07MRGNTKX,5
681,3051,B07MRGNTKX,5
683,1657,B07MRGNTKX,5
685,1657,B07MRGNTKX,5
687,423,B07QKSJNL5,5
689,1161,B07QKSJNL5,5
691,2342,B07QKSJNL5,5
693,2092,B07QKSJNL5,5
695,3015,B07QKSJNL5,5
697,2242,B07QKSJNL5,5
699,3095,B07QKSJNL5,5
701,1207,B07QKSJNL5,4
703,1207,B07QKSJNL5,4
705,641,B07L3YSSCK,4
707,731,B07L3YSSCK,5
709,119,B07L3YSSCK,1
711,767,B07L3YSSCK,5
713,1192,B07L3YSSCK,5
715,1192,B07L3YSSCK,5
717,2951,B07KBQZTBY,5
719,232,B07KBQZTBY,5
721,418,B07KBQZTBY,2
723,1750,B07KBQZTBY,5
725,3111,B07KBQZTBY,5
727,2866,B07KBQZTBY,4
729,119,B07KBQZTBY,5
731,2338,B07KBQZTBY,1
733,2338,B07KBQZTBY,1
735,2883,B07N2W5WGZ,4
737,2409,B07N2W5WGZ,5
739,1163,B07N2W5WGZ,4
741,2488,B07N2W5WGZ,5
743,2812,B07N2W5WGZ,5
745,809,B07N2W5WGZ,5
747,204,B07N2W5WGZ,5
749,716,B07N2W5WGZ,5
751,716,B07N2W5WGZ,5
753,871,B07PTYSWBN,5
755,1356,B07PTYSWBN,5
757,740,B07PTYSWBN,5
759,2630,B07PTYSWBN,5
761,119,B07PTYSWBN,5
763,1376,B07PTYSWBN,5
765,119,B07PTYSWBN,3
767,238,B07PTYSWBN,2
769,238,B07PTYSWBN,2
771,521,B07QXHFGR2,5
773,119,B07QXHFGR2,4
775,1810,B07QXHFGR2,4
777,1141,B07QXHFGR2,5
779,119,B07QXHFGR2,5
781,119,B07QXHFGR2,5
783,1889,B07QXHFGR2,5
785,2797,B07QXHFGR2,5
787,2797,B07QXHFGR2,5
789,2380,B07NYBK2WJ,5
791,1392,B07NYBK2WJ,4
793,2371,B07NYBK2WJ,5
795,28,B07NYBK2WJ,4
797,2684,B07NYBK2WJ,5
799,1289,B07NYBK2WJ,5
801,1981,B07NYBK2WJ,4
803,1451,B07NYBK2WJ,5
805,1451,B07NYBK2WJ,5
807,967,B07C8CF4KS,5
809,3144,B07C8CF4KS,5
811,505,B07C8CF4KS,5
813,505,B07C8CF4KS,5
815,1539,B07PHJYS18,1
817,2727,B07PHJYS18,1
819,1834,B07PHJYS18,5
821,1869,B07PHJYS18,3
823,21,B07PHJYS18,2
825,1815,B00I77DTEC,1
827,1341,B00I77DTEC,5
829,2208,B00I77DTEC,3
831,1899,B00I77DTEC,5
833,625,B00I77DTEC,5
835,1868,B00I77DTEC,5
837,2561,B00I77DTEC,5
839,2284,B00I77DTEC,5
841,2284,B00I77DTEC,5
843,1677,B07Q2VBPDH,5
845,2315,B07Q2VBPDH,5
847,2807,B07Q2VBPDH,5
849,1626,B07Q2VBPDH,5
851,2031,B07Q2VBPDH,3
853,3133,B07Q2VBPDH,5
855,1527,B07Q2VBPDH,5
857,1606,B07Q2VBPDH,3
859,1606,B07Q2VBPDH,3
861,2794,B07QJ1CJ22,3
863,2439,B07QJ1CJ22,5
865,988,B07QJ1CJ22,5
867,3121,B07QJ1CJ22,4
869,2292,B07QJ1CJ22,5
871,913,B07QJ1CJ22,5
873,913,B07QJ1CJ22,5
875,2162,B07QTQC7TY,3
877,1926,B07QTQC7TY,5
879,2467,B07QTQC7TY,5
881,154,B07QTQC7TY,4
883,1654,B07QTQC7TY,5
885,1555,B07QTQC7TY,4
887,514,B07QTQC7TY,4
889,3054,B07QTQC7TY,1
891,3054,B07QTQC7TY,1
893,3009,B07DPLQR9Y,4
895,2150,B07DPLQR9Y,3
897,2219,B07DPLQR9Y,4
899,2403,B07DPLQR9Y,5
901,2168,B07DPLQR9Y,5
903,2662,B07DPLQR9Y,5
905,1033,B07DPLQR9Y,3
907,377,B07DPLQR9Y,5
909,377,B07DPLQR9Y,5
911,3092,B07QXB7XW8,4
913,1789,B07QXB7XW8,5
915,558,B07QXB7XW8,3
917,2738,B07QXB7XW8,5
919,1045,B07QXB7XW8,5
921,308,B07QXB7XW8,5
923,2184,B07QXB7XW8,4
925,2184,B07QXB7XW8,4
927,2932,B07JHWJLQR,5
929,582,B07JHWJLQR,4
931,685,B07JHWJLQR,5
933,1709,B07JHWJLQR,5
935,164,B07JHWJLQR,5
937,1974,B07JHWJLQR,5
939,2747,B07JHWJLQR,5
941,2947,B07JHWJLQR,3
943,2947,B07JHWJLQR,3
945,778,B074ND5S9D,5
947,3119,B074ND5S9D,3
949,1345,B074ND5S9D,4
951,2158,B074ND5S9D,5
953,1248,B074ND5S9D,4
955,528,B074ND5S9D,5
957,2330,B074ND5S9D,5
959,1186,B074ND5S9D,4
961,1186,B074ND5S9D,4
963,40,B07B6F76S5,3
965,314,B07B6F76S5,5
967,2247,B07B6F76S5,2
969,1708,B07B6F76S5,5
971,2158,B07B6F76S5,1
973,2494,B07B6F76S5,2
975,1290,B07B6F76S5,4
977,2188,B07B6F76S5,4
979,2188,B07B6F76S5,4
981,359,B07F275GHV,3
983,797,B07F275GHV,5
985,55,B07F275GHV,5
987,880,B07F275GHV,5
989,2267,B07F275GHV,5
991,853,B07F275GHV,5
993,660,B07F275GHV,5
995,248,B07F275GHV,5
997,248,B07F275GHV,5
999,1975,B07GDHFLGY,5
1001,119,B07GDHFLGY,5
1003,2917,B07GDHFLGY,5
1005,1390,B07GDHFLGY,5
1007,129,B07GDHFLGY,5
1009,1050,B07GDHFLGY,4
1011,2636,B07GDHFLGY,5
1013,475,B07GDHFLGY,5
1015,475,B07GDHFLGY,5
1017,276,B07G3YHF79,5
1019,1586,B07G3YHF79,5
1021,1523,B07G3YHF79,5
1023,123,B07G3YHF79,5
1025,567,B07G3YHF79,5
1027,1909,B07G3YHF79,5
1029,1909,B07G3YHF79,5
1031,1780,B004GKBQN0,5
1033,534,B004GKBQN0,4
1035,2398,B004GKBQN0,5
1037,1081,B004GKBQN0,5
1039,1589,B004GKBQN0,5
1041,404,B004GKBQN0,5
1043,2515,B004GKBQN0,5
1045,2411,B004GKBQN0,5
1047,2411,B004GKBQN0,5
1049,733,B07R7K6JY6,5
1051,697,B07R7K6JY6,5
1053,2873,B07R7K6JY6,5
1055,2846,B07R7K6JY6,5
1057,900,B07R7K6JY6,4
1059,15,B07R7K6JY6,4
1061,170,B07R7K6JY6,2
1063,92,B07R7K6JY6,5
1065,92,B07R7K6JY6,5
1067,148,B07PQ3LFKS,4
1069,3102,B07PQ3LFKS,5
1071,1464,B07PQ3LFKS,5
1073,925,B07PQ3LFKS,4
1075,3139,B07PQ3LFKS,4
1077,119,B07PQ3LFKS,4
1079,119,B07PQ3LFKS,4
1081,1275,B07PQ3LFKS,5
1083,1275,B07PQ3LFKS,5
1085,3060,B01N0ST6SG,1
1087,2073,B01N0ST6SG,3
1089,1732,B01N0ST6SG,3
1091,1900,B01N0ST6SG,3
1093,2720,B01N0ST6SG,4
1095,1999,B01N0ST6SG,4
1097,286,B01N0ST6SG,3
1099,922,B01N0ST6SG,3
1101,922,B01N0ST6SG,3
1103,2593,B07MRKFXSQ,5
1105,2735,B07MRKFXSQ,5
1107,1292,B07MRKFXSQ,5
1109,2296,B07MRKFXSQ,5
1111,3100,B07MRKFXSQ,5
1113,2480,B07MRKFXSQ,4
1115,2349,B07MRKFXSQ,5
1117,2372,B07MRKFXSQ,4
1119,2372,B07MRKFXSQ,4
1121,891,B07L634WLK,4
1123,271,B07L634WLK,4
1125,1648,B07L634WLK,5
1127,2525,B07L634WLK,5
1129,2462,B07L634WLK,3
1131,1430,B07L634WLK,5
1133,1008,B07L634WLK,4
1135,65,B07L634WLK,5
1137,65,B07L634WLK,5
1139,2985,B07MMLGJHR,4
1141,2809,B07MMLGJHR,5
1143,3004,B07MMLGJHR,5
1145,1207,B07MMLGJHR,5
1147,3090,B07MMLGJHR,4
1149,3105,B07MMLGJHR,4
1151,670,B07MMLGJHR,5
1153,2501,B07MMLGJHR,4
1155,2501,B07MMLGJHR,4
1157,1608,B07QJVNC6Q,5
1159,1305,B07QJVNC6Q,5
1161,1260,B07QJVNC6Q,5
1163,2421,B07QJVNC6Q,5
1165,2312,B07QJVNC6Q,5
1167,2980,B07QJVNC6Q,5
1169,2991,B07QJVNC6Q,5
1171,2402,B07QJVNC6Q,4
1173,2402,B07QJVNC6Q,4
1175,1685,B07HB1ZPKQ,5
1177,532,B07HB1ZPKQ,1
1179,1480,B07HB1ZPKQ,3
1181,2060,B07HB1ZPKQ,1
1183,2019,B07HB1ZPKQ,5
1185,75,B07HB1ZPKQ,5
1187,119,B07HB1ZPKQ,3
1189,762,B07HB1ZPKQ,5
1191,762,B07HB1ZPKQ,5
1193,2158,B07PNKXSY3,5
1195,351,B07PNKXSY3,3
1197,2057,B07PNKXSY3,5
1199,1911,B07PNKXSY3,5
1201,381,B07PNKXSY3,2
1203,990,B07PNKXSY3,3
1205,119,B07PNKXSY3,5
1207,177,B07PNKXSY3,5
1209,177,B07PNKXSY3,5
1211,1389,B07C2RTTK7,4
1213,1752,B07C2RTTK7,3
1215,1085,B07C2RTTK7,5
1217,2281,B07C2RTTK7,1
1219,1088,B07C2RTTK7,4
1221,119,B07C2RTTK7,5
1223,119,B07C2RTTK7,1
1225,2309,B07C2RTTK7,5
1227,2309,B07C2RTTK7,5
1229,674,B07HH5RC9B,5
1231,342,B07HH5RC9B,2
1233,614,B07HH5RC9B,3
1235,2154,B07HH5RC9B,3
1237,1312,B07HH5RC9B,5
1239,560,B07HH5RC9B,5
1241,1960,B07HH5RC9B,5
1243,2360,B07HH5RC9B,5
1245,2360,B07HH5RC9B,5
1247,2591,B07MSQ3Q7L,5
1249,1724,B07MSQ3Q7L,5
1251,1079,B07MSQ3Q7L,5
1253,2220,B07MSQ3Q7L,4
1255,67,B07MSQ3Q7L,5
1257,414,B07MSQ3Q7L,5
1259,2890,B07MSQ3Q7L,5
1261,56,B07MSQ3Q7L,4
1263,56,B07MSQ3Q7L,4
1265,1686,B00HS7QEZI,5
1267,2549,B00HS7QEZI,3
1269,168,B00HS7QEZI,4
1271,2502,B00HS7QEZI,4
1273,2082,B00HS7QEZI,1
1275,1320,B00HS7QEZI,5
1277,1976,B00HS7QEZI,5
1279,1801,B00HS7QEZI,3
1281,1801,B00HS7QEZI,3
1283,917,B07MFRPTSM,5
1285,2440,B07MFRPTSM,5
1287,1739,B07MFRPTSM,5
1289,2326,B07MFRPTSM,5
1291,2499,B07MFRPTSM,5
1293,2568,B07MFRPTSM,5
1295,2067,B07MFRPTSM,5
1297,1001,B07MFRPTSM,5
1299,1001,B07MFRPTSM,5
1301,2084,B07QGV1G12,3
1303,2658,B07QGV1G12,3
1305,2726,B07QGV1G12,5
1307,119,B07QGV1G12,5
1309,1110,B07QGV1G12,5
1311,2754,B07QGV1G12,5
1313,1809,B07QGV1G12,5
1315,2960,B07QGV1G12,4
1317,2960,B07QGV1G12,4
1319,2252,B0797PD6Y6,5
1321,2664,B0797PD6Y6,5
1323,2552,B0797PD6Y6,5
1325,695,B0797PD6Y6,5
1327,1615,B0797PD6Y6,5
1329,1615,B0797PD6Y6,5
1331,119,B07PGN8559,5
1333,814,B07PGN8559,5
1335,126,B07PGN8559,5
1337,1953,B07PGN8559,4
1339,844,B07PGN8559,5
1341,386,B07PGN8559,3
1343,2007,B07PGN8559,5
1345,1089,B07PGN8559,5
1347,1089,B07PGN8559,5
1349,1237,B07PQPLQGS,5
1351,16,B07PQPLQGS,5
1353,3000,B07PQPLQGS,5
1355,1507,B07PQPLQGS,1
1357,2849,B07PQPLQGS,3
1359,49,B07PQPLQGS,5
1361,1151,B07PQPLQGS,5
1363,1386,B07PQPLQGS,5
1365,1386,B07PQPLQGS,5
1367,2217,B07NXQ8CCK,5
1369,1721,B07NXQ8CCK,5
1371,2818,B07NXQ8CCK,5
1373,980,B07NXQ8CCK,5
1375,1774,B07NXQ8CCK,5
1377,908,B07NXQ8CCK,5
1379,1337,B07NXQ8CCK,5
1381,1233,B07NXQ8CCK,5
1383,1233,B07NXQ8CCK,5
1385,2587,B07HMW1FDG,1
1387,362,B07HMW1FDG,2
1389,2039,B07HMW1FDG,5
1391,1782,B07HMW1FDG,2
1393,2152,B07HMW1FDG,1
1395,1581,B07HMW1FDG,3
1397,1840,B07HMW1FDG,5
1399,2099,B07HMW1FDG,1
1401,2099,B07HMW1FDG,1
1403,368,B07PWYM2PP,1
1405,2570,B07PWYM2PP,5
1407,2383,B07PWYM2PP,1
1409,2675,B07PWYM2PP,4
1411,687,B07PWYM2PP,4
1413,2089,B07PWYM2PP,4
1415,119,B07PWYM2PP,5
1417,2533,B07PWYM2PP,5
1419,2533,B07PWYM2PP,5
1421,435,B07RDF1S9Q,5
1423,0,B07RDF1S9Q,5
1425,1977,B07RDF1S9Q,5
1427,136,B07RDF1S9Q,4
1429,1530,B07RDF1S9Q,5
1431,984,B07RDF1S9Q,5
1433,703,B07RDF1S9Q,3
1435,1946,B07RDF1S9Q,4
1437,1946,B07RDF1S9Q,4
1439,3001,B07M61KLM6,5
1441,894,B07M61KLM6,5
1443,722,B07M61KLM6,5
1445,766,B07M61KLM6,1
1447,897,B07M61KLM6,5
1449,1884,B07M61KLM6,5
1451,2050,B07M61KLM6,4
1453,1839,B07M61KLM6,4
1455,1839,B07M61KLM6,4
1457,1707,B07H5DS13S,5
1459,328,B07H5DS13S,3
1461,2519,B07H5DS13S,5
1463,348,B07H5DS13S,5
1465,2781,B07H5DS13S,5
1467,2212,B07H5DS13S,5
1469,2989,B07H5DS13S,5
1471,1139,B07H5DS13S,5
1473,1139,B07H5DS13S,5
1475,2816,B00VE86JCK,4
1477,2862,B00VE86JCK,5
1479,1823,B00VE86JCK,5
1481,2023,B00VE86JCK,5
1483,2973,B00VE86JCK,5
1485,244,B00VE86JCK,3
1487,3117,B00VE86JCK,5
1489,2006,B00VE86JCK,3
1491,2006,B00VE86JCK,3
1493,610,B07MRGNTKX,5
1495,3094,B07MRGNTKX,5
1497,2155,B07MRGNTKX,5
1499,43,B07MRGNTKX,5
1501,2687,B07MRGNTKX,3
1503,119,B07MRGNTKX,5
1505,3051,B07MRGNTKX,5
1507,1657,B07MRGNTKX,5
1509,1657,B07MRGNTKX,5
1511,423,B07QKSJNL5,5
1513,1161,B07QKSJNL5,5
1515,2342,B07QKSJNL5,5
1517,2092,B07QKSJNL5,5
1519,3015,B07QKSJNL5,5
1521,2242,B07QKSJNL5,5
1523,3095,B07QKSJNL5,5
1525,1207,B07QKSJNL5,4
1527,1207,B07QKSJNL5,4
1529,641,B07L3YSSCK,4
1531,731,B07L3YSSCK,5
1533,119,B07L3YSSCK,1
1535,767,B07L3YSSCK,5
1537,1192,B07L3YSSCK,5
1539,1192,B07L3YSSCK,5
1541,2951,B07KBQZTBY,5
1543,232,B07KBQZTBY,5
1545,418,B07KBQZTBY,2
1547,1750,B07KBQZTBY,5
1549,3111,B07KBQZTBY,5
1551,2866,B07KBQZTBY,4
1553,119,B07KBQZTBY,5
1555,2338,B07KBQZTBY,1
1557,2338,B07KBQZTBY,1
1559,2883,B07N2W5WGZ,4
1561,2409,B07N2W5WGZ,5
1563,1163,B07N2W5WGZ,4
1565,2488,B07N2W5WGZ,5
1567,2812,B07N2W5WGZ,5
1569,809,B07N2W5WGZ,5
1571,204,B07N2W5WGZ,5
1573,716,B07N2W5WGZ,5
1575,716,B07N2W5WGZ,5
1577,871,B07PTYSWBN,5
1579,1356,B07PTYSWBN,5
1581,740,B07PTYSWBN,5
1583,2630,B07PTYSWBN,5
1585,119,B07PTYSWBN,5
1587,1376,B07PTYSWBN,5
1589,119,B07PTYSWBN,3
1591,238,B07PTYSWBN,2
1593,238,B07PTYSWBN,2
1595,521,B07QXHFGR2,5
1597,119,B07QXHFGR2,4
1599,1810,B07QXHFGR2,4
1601,1141,B07QXHFGR2,5
1603,119,B07QXHFGR2,5
1605,119,B07QXHFGR2,5
1607,1889,B07QXHFGR2,5
1609,2797,B07QXHFGR2,5
1611,2797,B07QXHFGR2,5
1613,2380,B07NYBK2WJ,5
1615,1392,B07NYBK2WJ,4
1617,2371,B07NYBK2WJ,5
1619,28,B07NYBK2WJ,4
1621,2684,B07NYBK2WJ,5
1623,1289,B07NYBK2WJ,5
1625,1981,B07NYBK2WJ,4
1627,1451,B07NYBK2WJ,5
1629,1451,B07NYBK2WJ,5
1631,967,B07C8CF4KS,5
1633,3144,B07C8CF4KS,5
1635,505,B07C8CF4KS,5
1637,505,B07C8CF4KS,5
1639,1539,B07PHJYS18,1
